"gram2" "gram3" "target" "newsFreq" "blogFreq" "twitterFreq"
"3006" "may" "need" "to" 0 5 2
"3007" "me" "back" "to" 0 5 2
"3008" "in" "all" "the" 0 3 3
"3009" "me" "in" "a" 0 5 4
"3010" "me" "want" "to" 0 5 12
"3011" "most" "of" "my" 0 5 2
"3012" "my" "best" "to" 0 5 2
"3013" "my" "life" "i" 0 5 3
"3014" "my" "life" "is" 0 5 2
"3015" "need" "to" "know" 0 5 6
"3016" "never" "have" "to" 0 5 2
"3017" "no" "idea" "how" 0 5 3
"3018" "not" "a" "big" 0 5 2
"3019" "not" "allow" "to" 0 5 3
"3020" "not" "be" "a" 0 5 3
"3021" "in" "my" "mouth" 0 3 2
"3022" "not" "sure" "what" 0 5 4
"3023" "now" "i" "have" 0 5 8
"3024" "of" "the" "lord" 0 5 4
"3025" "of" "the" "room" 0 5 2
"3026" "on" "my" "way" 0 5 23
"3027" "on" "the" "blog" 0 5 2
"3028" "on" "the" "couch" 0 5 3
"3029" "on" "the" "list" 0 5 6
"3030" "in" "the" "whole" 0 3 3
"3031" "out" "of" "town" 0 5 2
"3032" "out" "some" "of" 0 5 2
"3033" "realli" "like" "to" 0 5 2
"3034" "is" "a" "part" 0 3 3
"3035" "she" "has" "a" 0 5 7
"3036" "sinc" "i" "was" 0 5 2
"3037" "so" "much" "i" 0 5 8
"3038" "spent" "a" "lot" 0 5 2
"3039" "is" "like" "the" 0 3 2
"3040" "tell" "you" "what" 0 5 2
"3041" "thank" "so" "much" 0 5 30
"3042" "thank" "you" "so" 0 5 23
"3043" "that" "the" "best" 0 5 2
"3044" "the" "best" "thing" 0 5 10
"3045" "the" "book" "of" 0 5 2
"3046" "it" "and" "the" 0 3 2
"3047" "the" "exact" "same" 0 5 2
"3048" "the" "hunger" "game" 0 5 8
"3049" "it" "better" "to" 0 3 2
"3050" "the" "kid" "and" 0 5 4
"3051" "it" "came" "out" 0 3 3
"3052" "the" "most" "popular" 0 5 2
"3053" "the" "new" "year" 0 5 6
"3054" "it" "feel" "like" 0 3 6
"3055" "the" "reason" "i" 0 5 2
"3056" "it" "imposs" "to" 0 3 3
"3057" "the" "thought" "of" 0 5 2
"3058" "it" "is" "and" 0 3 5
"3059" "it" "just" "me" 0 3 2
"3060" "there" "should" "be" 0 5 2
"3061" "it" "need" "to" 0 3 2
"3062" "it" "nice" "to" 0 3 4
"3063" "they" "seem" "to" 0 5 2
"3064" "thing" "i" "have" 0 5 2
"3065" "it" "so" "much" 0 3 2
"3066" "this" "is" "whi" 0 5 8
"3067" "it" "the" "first" 0 3 2
"3068" "time" "to" "start" 0 5 3
"3069" "it" "was" "for" 0 3 3
"3070" "to" "add" "to" 0 5 2
"3071" "to" "be" "do" 0 5 7
"3072" "to" "be" "true" 0 5 4
"3073" "it" "when" "i" 0 3 9
"3074" "it" "when" "it" 0 3 5
"3075" "to" "get" "me" 0 5 2
"3076" "to" "get" "my" 0 5 13
"3077" "to" "give" "it" 0 5 4
"3078" "to" "go" "home" 0 5 4
"3079" "ive" "been" "tri" 0 3 2
"3080" "just" "do" "it" 0 3 4
"3081" "just" "got" "a" 0 3 10
"3082" "to" "open" "the" 0 5 2
"3083" "just" "one" "of" 0 3 3
"3084" "to" "stop" "by" 0 5 3
"3085" "just" "to" "be" 0 3 2
"3086" "to" "take" "your" 0 5 3
"3087" "to" "the" "beach" 0 5 5
"3088" "to" "the" "left" 0 5 2
"3089" "to" "the" "world" 0 5 5
"3090" "to" "those" "who" 0 5 4
"3091" "to" "write" "the" 0 5 4
"3092" "today" "i" "am" 0 5 6
"3093" "tri" "and" "make" 0 5 2
"3094" "know" "what" "is" 0 3 3
"3095" "up" "to" "me" 0 5 4
"3096" "use" "the" "word" 0 5 4
"3097" "wait" "to" "get" 0 5 4
"3098" "want" "to" "talk" 0 5 6
"3099" "let" "it" "be" 0 3 5
"3100" "as" "can" "be" 0 2 2
"3101" "we" "also" "have" 0 5 2
"3102" "we" "are" "go" 0 5 11
"3103" "life" "is" "good" 0 3 5
"3104" "we" "know" "it" 0 5 2
"3105" "we" "live" "in" 0 5 2
"3106" "went" "to" "a" 0 5 2
"3107" "what" "i" "do" 0 5 8
"3108" "what" "it" "like" 0 5 4
"3109" "what" "to" "expect" 0 5 2
"3110" "what" "you" "have" 0 5 7
"3111" "when" "it" "came" 0 5 2
"3112" "while" "i" "was" 0 5 5
"3113" "while" "we" "were" 0 5 2
"3114" "long" "time" "i" 0 3 2
"3115" "with" "me" "i" 0 5 2
"3116" "wonder" "if" "i" 0 5 4
"3117" "lot" "of" "it" 0 3 2
"3118" "work" "so" "hard" 0 5 5
"3119" "love" "a" "good" 0 3 2
"3120" "yes" "i" "know" 0 5 2
"3121" "you" "are" "still" 0 5 5
"3122" "you" "get" "to" 0 5 5
"3123" "you" "go" "to" 0 5 19
"3124" "you" "in" "the" 0 5 7
"3125" "you" "see" "the" 0 5 5
"3126" "you" "should" "have" 0 5 7
"3127" "you" "think" "you" 0 5 3
"3128" "make" "it" "happen" 0 3 9
"3129" "a" "fan" "of" 0 4 10
"3130" "make" "me" "a" 0 3 2
"3131" "make" "me" "smile" 0 3 2
"3132" "a" "friend" "of" 0 4 2
"3133" "a" "long" "day" 0 4 4
"3134" "a" "new" "one" 0 4 2
"3135" "a" "phone" "call" 0 4 4
"3136" "a" "sourc" "of" 0 4 2
"3137" "a" "time" "of" 0 4 2
"3138" "a" "veri" "long" 0 4 2
"3139" "a" "world" "of" 0 4 2
"3140" "me" "so" "much" 0 3 3
"3141" "me" "to" "take" 0 3 2
"3142" "me" "when" "i" 0 3 6
"3143" "all" "of" "our" 0 4 8
"3144" "all" "you" "have" 0 4 3
"3145" "am" "not" "a" 0 4 2
"3146" "am" "not" "go" 0 4 2
"3147" "am" "so" "happi" 0 4 2
"3148" "more" "than" "i" 0 3 2
"3149" "an" "import" "part" 0 4 2
"3150" "and" "a" "good" 0 4 2
"3151" "and" "all" "of" 0 4 3
"3152" "and" "enjoy" "the" 0 4 2
"3153" "and" "get" "a" 0 4 9
"3154" "and" "go" "to" 0 4 6
"3155" "and" "i" "got" 0 4 4
"3156" "and" "look" "at" 0 4 7
"3157" "need" "to" "buy" 0 3 3
"3158" "and" "make" "the" 0 4 2
"3159" "and" "now" "i" 0 4 7
"3160" "not" "for" "me" 0 3 2
"3161" "answer" "the" "question" 0 4 2
"3162" "are" "about" "to" 0 4 5
"3163" "are" "you" "do" 0 4 12
"3164" "at" "least" "i" 0 4 4
"3165" "at" "least" "it" 0 4 3
"3166" "back" "to" "back" 0 4 2
"3167" "back" "to" "school" 0 4 7
"3168" "be" "call" "a" 0 4 2
"3169" "be" "more" "than" 0 4 3
"3170" "of" "peopl" "and" 0 3 2
"3171" "but" "at" "least" 0 4 3
"3172" "but" "i" "had" 0 4 3
"3173" "but" "i" "would" 0 4 2
"3174" "but" "not" "as" 0 4 2
"3175" "but" "now" "i" 0 4 5
"3176" "but" "she" "is" 0 4 2
"3177" "but" "that" "not" 0 4 3
"3178" "but" "then" "again" 0 4 2
"3179" "but" "you" "are" 0 4 3
"3180" "but" "you" "dont" 0 4 4
"3181" "of" "the" "parti" 0 3 2
"3182" "day" "and" "it" 0 4 2
"3183" "day" "when" "i" 0 4 5
"3184" "did" "i" "mention" 0 4 4
"3185" "didnt" "even" "know" 0 4 4
"3186" "of" "us" "are" 0 3 3
"3187" "do" "my" "best" 0 4 2
"3188" "do" "the" "thing" 0 4 2
"3189" "do" "you" "feel" 0 4 2
"3190" "doesnt" "have" "to" 0 4 5
"3191" "dont" "give" "a" 0 4 6
"3192" "down" "with" "a" 0 4 2
"3193" "oh" "my" "god" 0 3 11
"3194" "each" "and" "everi" 0 4 4
"3195" "episod" "of" "the" 0 4 4
"3196" "even" "want" "to" 0 4 4
"3197" "feel" "a" "littl" 0 4 4
"3198" "follow" "by" "a" 0 4 4
"3199" "for" "a" "bit" 0 4 5
"3200" "for" "a" "short" 0 4 2
"3201" "for" "a" "year" 0 4 6
"3202" "for" "all" "your" 0 4 5
"3203" "for" "my" "famili" 0 4 2
"3204" "on" "your" "own" 0 3 3
"3205" "for" "the" "boy" 0 4 2
"3206" "from" "a" "friend" 0 4 2
"3207" "get" "to" "see" 0 4 12
"3208" "glad" "that" "i" 0 4 2
"3209" "go" "out" "to" 0 4 5
"3210" "go" "to" "my" 0 4 7
"3211" "go" "to" "sleep" 0 4 12
"3212" "had" "a" "great" 0 4 20
"3213" "hard" "to" "be" 0 4 2
"3214" "has" "a" "great" 0 4 9
"3215" "has" "noth" "to" 0 4 2
"3216" "have" "a" "feel" 0 4 3
"3217" "have" "a" "wonder" 0 4 8
"3218" "over" "the" "phone" 0 3 2
"3219" "have" "so" "mani" 0 4 4
"3220" "part" "of" "your" 0 3 2
"3221" "have" "to" "tell" 0 4 2
"3222" "he" "is" "an" 0 4 2
"3223" "he" "is" "so" 0 4 2
"3224" "pick" "up" "some" 0 3 2
"3225" "head" "over" "to" 0 4 6
"3226" "pleas" "pleas" "pleas" 0 3 3
"3227" "hope" "you" "are" 0 4 15
"3228" "hope" "you" "will" 0 4 3
"3229" "how" "are" "you" 0 4 36
"3230" "how" "it" "goe" 0 4 3
"3231" "how" "mani" "time" 0 4 6
"3232" "how" "much" "you" 0 4 2
"3233" "i" "am" "glad" 0 4 2
"3234" "i" "am" "realli" 0 4 3
"3235" "i" "am" "still" 0 4 3
"3236" "i" "bought" "a" 0 4 4
"3237" "i" "can" "hear" 0 4 3
"3238" "i" "can" "never" 0 4 3
"3239" "put" "up" "a" 0 3 2
"3240" "i" "cant" "find" 0 4 8
"3241" "i" "didnt" "even" 0 4 5
"3242" "i" "do" "know" 0 4 2
"3243" "i" "do" "love" 0 4 2
"3244" "i" "dont" "need" 0 4 6
"3245" "i" "feel" "the" 0 4 4
"3246" "i" "figur" "it" 0 4 3
"3247" "i" "found" "out" 0 4 4
"3248" "i" "get" "a" 0 4 16
"3249" "i" "guess" "you" 0 4 3
"3250" "i" "have" "so" 0 4 6
"3251" "i" "have" "some" 0 4 4
"3252" "i" "havent" "been" 0 4 11
"3253" "i" "heard" "that" 0 4 4
"3254" "i" "hope" "i" 0 4 8
"3255" "i" "knew" "the" 0 4 2
"3256" "i" "live" "in" 0 4 7
"3257" "i" "love" "how" 0 4 7
"3258" "i" "may" "be" 0 4 6
"3259" "i" "move" "to" 0 4 2
"3260" "i" "realli" "realli" 0 4 6
"3261" "i" "still" "dont" 0 4 5
"3262" "i" "still" "feel" 0 4 2
"3263" "i" "think" "so" 0 4 6
"3264" "i" "told" "you" 0 4 3
"3265" "i" "was" "also" 0 4 2
"3266" "if" "i" "do" 0 4 3
"3267" "if" "i" "got" 0 4 3
"3268" "if" "we" "want" 0 4 2
"3269" "if" "you" "could" 0 4 8
"3270" "ill" "have" "to" 0 4 9
"3271" "im" "look" "forward" 0 4 2
"3272" "im" "not" "say" 0 4 2
"3273" "im" "think" "about" 0 4 2
"3274" "im" "tri" "to" 0 4 16
"3275" "she" "will" "be" 0 3 2
"3276" "but" "i" "can" 0 2 2
"3277" "but" "i" "hope" 0 2 3
"3278" "so" "excit" "to" 0 3 10
"3279" "so" "good" "at" 0 3 3
"3280" "so" "i" "cant" 0 3 6
"3281" "but" "it" "did" 0 2 2
"3282" "so" "im" "go" 0 3 2
"3283" "so" "mani" "thing" 0 3 2
"3284" "so" "much" "fun" 0 3 10
"3285" "is" "just" "not" 0 4 3
"3286" "sound" "like" "the" 0 3 3
"3287" "start" "to" "get" 0 3 3
"3288" "stay" "tune" "for" 0 3 6
"3289" "still" "dont" "know" 0 3 3
"3290" "still" "tri" "to" 0 3 5
"3291" "stop" "in" "to" 0 3 2
"3292" "but" "we" "are" 0 2 3
"3293" "such" "a" "beauti" 0 3 3
"3294" "is" "a" "book" 0 2 2
"3295" "sure" "to" "check" 0 3 3
"3296" "take" "me" "to" 0 3 3
"3297" "tell" "her" "to" 0 3 2
"3298" "tell" "me" "how" 0 3 5
"3299" "tell" "me" "that" 0 3 3
"3300" "tell" "me" "to" 0 3 2
"3301" "tell" "you" "how" 0 3 3
"3302" "tell" "you" "whi" 0 3 2
"3303" "than" "i" "could" 0 3 2
"3304" "thank" "god" "it" 0 3 3
"3305" "that" "a" "good" 0 3 4
"3306" "that" "how" "i" 0 3 4
"3307" "came" "over" "and" 0 2 2
"3308" "me" "and" "my" 0 4 12
"3309" "me" "that" "he" 0 4 3
"3310" "is" "in" "full" 0 2 3
"3311" "is" "it" "time" 0 2 3
"3312" "my" "favorit" "thing" 0 4 2
"3313" "that" "want" "to" 0 3 4
"3314" "cant" "see" "it" 0 2 4
"3315" "cant" "tell" "you" 0 2 2
"3316" "cant" "think" "of" 0 2 3
"3317" "cant" "wait" "until" 0 2 9
"3318" "the" "famili" "of" 0 3 2
"3319" "on" "my" "list" 0 4 4
"3320" "on" "our" "way" 0 4 4
"3321" "one" "of" "your" 0 4 3
"3322" "one" "thing" "that" 0 4 2
"3323" "the" "groceri" "store" 0 3 2
"3324" "ought" "to" "be" 0 4 3
"3325" "the" "man" "i" 0 3 2
"3326" "quit" "a" "bit" 0 4 2
"3327" "the" "most" "power" 0 3 2
"3328" "the" "number" "one" 0 3 3
"3329" "seem" "to" "get" 0 4 2
"3330" "sens" "of" "humor" 0 4 2
"3331" "so" "happi" "to" 0 4 6
"3332" "come" "to" "you" 0 2 2
"3333" "so" "proud" "of" 0 4 14
"3334" "compar" "to" "what" 0 2 2
"3335" "someon" "in" "the" 0 4 2
"3336" "the" "thing" "you" 0 3 6
"3337" "the" "time" "has" 0 3 3
"3338" "take" "pictur" "of" 0 4 2
"3339" "the" "view" "of" 0 3 2
"3340" "it" "i" "dont" 0 2 3
"3341" "them" "it" "was" 0 3 2
"3342" "then" "go" "to" 0 3 4
"3343" "there" "is" "onli" 0 3 2
"3344" "someon" "els" "to" 0 2 2
"3345" "it" "just" "wasnt" 0 2 2
"3346" "they" "should" "be" 0 3 3
"3347" "they" "were" "all" 0 3 2
"3348" "the" "last" "week" 0 4 4
"3349" "think" "about" "this" 0 3 2
"3350" "think" "i" "need" 0 3 2
"3351" "think" "ive" "ever" 0 3 2
"3352" "think" "we" "should" 0 3 2
"3353" "think" "you" "are" 0 3 2
"3354" "the" "one" "thing" 0 4 3
"3355" "this" "is" "how" 0 3 4
"3356" "the" "secret" "to" 0 4 2
"3357" "those" "of" "us" 0 3 2
"3358" "time" "for" "me" 0 3 4
"3359" "stick" "to" "it" 0 2 2
"3360" "time" "with" "my" 0 3 2
"3361" "to" "announc" "that" 0 3 3
"3362" "thing" "i" "need" 0 4 4
"3363" "thing" "i" "want" 0 4 2
"3364" "to" "come" "in" 0 3 3
"3365" "time" "i" "have" 0 4 5
"3366" "didnt" "like" "the" 0 2 3
"3367" "to" "do" "i" 0 3 3
"3368" "to" "eat" "at" 0 3 2
"3369" "to" "enjoy" "the" 0 3 2
"3370" "to" "get" "on" 0 3 6
"3371" "to" "get" "this" 0 3 2
"3372" "to" "get" "you" 0 4 4
"3373" "to" "help" "them" 0 3 2
"3374" "to" "have" "them" 0 4 2
"3375" "to" "help" "me" 0 4 4
"3376" "to" "know" "how" 0 3 3
"3377" "to" "make" "you" 0 4 5
"3378" "to" "me" "is" 0 4 3
"3379" "to" "meet" "you" 0 4 22
"3380" "to" "make" "me" 0 3 8
"3381" "to" "make" "more" 0 3 2
"3382" "to" "read" "the" 0 4 3
"3383" "to" "see" "some" 0 4 5
"3384" "to" "see" "you" 0 4 51
"3385" "do" "it" "to" 0 2 2
"3386" "to" "sleep" "in" 0 4 3
"3387" "to" "mess" "with" 0 3 2
"3388" "to" "take" "advantag" 0 4 3
"3389" "to" "put" "on" 0 3 2
"3390" "to" "read" "and" 0 3 3
"3391" "to" "what" "i" 0 4 2
"3392" "told" "me" "to" 0 4 2
"3393" "to" "see" "your" 0 3 4
"3394" "do" "you" "like" 0 2 6
"3395" "do" "you" "rememb" 0 2 2
"3396" "to" "the" "best" 0 3 4
"3397" "vote" "for" "the" 0 4 3
"3398" "wait" "to" "be" 0 4 2
"3399" "doe" "it" "look" 0 2 2
"3400" "know" "if" "it" 0 2 4
"3401" "want" "to" "read" 0 4 3
"3402" "doe" "that" "mean" 0 2 4
"3403" "doesnt" "have" "a" 0 2 2
"3404" "was" "still" "a" 0 4 2
"3405" "dont" "feel" "like" 0 2 3
"3406" "dont" "forget" "the" 0 2 2
"3407" "week" "has" "been" 0 4 3
"3408" "welcom" "to" "the" 0 4 15
"3409" "toward" "the" "end" 0 3 2
"3410" "what" "he" "said" 0 4 2
"3411" "what" "i" "need" 0 4 3
"3412" "what" "if" "i" 0 4 3
"3413" "what" "the" "fuck" 0 4 4
"3414" "will" "ever" "be" 0 2 3
"3415" "two" "of" "my" 0 3 2
"3416" "what" "you" "think" 0 4 8
"3417" "up" "from" "the" 0 3 2
"3418" "when" "i" "say" 0 4 5
"3419" "us" "in" "the" 0 3 5
"3420" "whi" "do" "i" 0 4 7
"3421" "use" "it" "in" 0 3 2
"3422" "who" "i" "am" 0 4 3
"3423" "will" "all" "be" 0 4 2
"3424" "wait" "for" "a" 0 3 4
"3425" "walk" "down" "the" 0 3 2
"3426" "with" "my" "famili" 0 4 2
"3427" "word" "on" "the" 0 4 2
"3428" "want" "to" "hear" 0 3 4
"3429" "work" "in" "a" 0 4 2
"3430" "work" "on" "my" 0 4 4
"3431" "want" "to" "miss" 0 3 6
"3432" "want" "to" "rememb" 0 3 2
"3433" "want" "to" "thank" 0 3 2
"3434" "you" "but" "i" 0 4 5
"3435" "you" "get" "the" 0 4 6
"3436" "you" "had" "a" 0 4 12
"3437" "you" "love" "me" 0 4 3
"3438" "you" "might" "have" 0 4 2
"3439" "you" "want" "it" 0 4 3
"3440" "you" "will" "never" 0 4 5
"3441" "a" "day" "off" 0 3 4
"3442" "we" "can" "all" 0 3 5
"3443" "a" "great" "weekend" 0 3 21
"3444" "a" "hell" "of" 0 3 3
"3445" "a" "load" "of" 0 3 2
"3446" "we" "go" "to" 0 3 6
"3447" "we" "talk" "about" 0 3 3
"3448" "we" "were" "all" 0 3 2
"3449" "even" "have" "a" 0 2 3
"3450" "well" "it" "was" 0 3 4
"3451" "a" "real" "man" 0 3 4
"3452" "well" "you" "know" 0 3 3
"3453" "what" "i" "can" 0 3 4
"3454" "what" "i" "realli" 0 3 2
"3455" "what" "is" "right" 0 3 2
"3456" "what" "the" "hell" 0 3 9
"3457" "what" "they" "say" 0 3 2
"3458" "what" "was" "the" 0 3 3
"3459" "what" "will" "be" 0 3 2
"3460" "what" "you" "do" 0 3 9
"3461" "what" "your" "favorit" 0 3 11
"3462" "about" "the" "new" 0 3 3
"3463" "when" "i" "need" 0 3 4
"3464" "when" "you" "can" 0 3 7
"3465" "which" "would" "be" 0 3 2
"3466" "alway" "tri" "to" 0 3 3
"3467" "am" "work" "on" 0 3 3
"3468" "who" "we" "are" 0 3 2
"3469" "will" "most" "like" 0 3 2
"3470" "will" "take" "a" 0 3 3
"3471" "wish" "i" "had" 0 3 13
"3472" "and" "by" "the" 0 3 2
"3473" "and" "everi" "one" 0 3 4
"3474" "with" "you" "and" 0 3 8
"3475" "wonder" "about" "the" 0 3 2
"3476" "would" "be" "fun" 0 3 2
"3477" "would" "still" "be" 0 3 2
"3478" "and" "my" "mom" 0 3 2
"3479" "and" "no" "matter" 0 3 2
"3480" "and" "now" "it" 0 3 2
"3481" "yes" "it" "is" 0 3 12
"3482" "you" "all" "the" 0 3 3
"3483" "you" "and" "i" 0 3 4
"3484" "you" "are" "so" 0 3 11
"3485" "and" "the" "one" 0 3 2
"3486" "you" "can" "hear" 0 3 2
"3487" "you" "do" "it" 0 3 4
"3488" "you" "do" "you" 0 3 4
"3489" "you" "dont" "like" 0 3 8
"3490" "you" "happen" "to" 0 3 2
"3491" "you" "have" "ani" 0 3 9
"3492" "and" "they" "were" 0 3 4
"3493" "you" "just" "have" 0 3 3
"3494" "you" "like" "the" 0 3 6
"3495" "you" "take" "the" 0 3 2
"3496" "you" "want" "more" 0 3 2
"3497" "you" "were" "the" 0 3 3
"3498" "and" "we" "were" 0 3 2
"3499" "for" "a" "drink" 0 2 3
"3500" "a" "bag" "of" 0 2 2
"3501" "a" "beauti" "day" 0 2 10
"3502" "ani" "of" "my" 0 3 4
"3503" "for" "all" "those" 0 2 3
"3504" "a" "bit" "too" 0 2 2
"3505" "are" "start" "to" 0 3 3
"3506" "me" "the" "most" 0 2 3
"3507" "a" "day" "in" 0 2 2
"3508" "a" "dream" "that" 0 2 4
"3509" "at" "least" "time" 0 3 3
"3510" "for" "the" "big" 0 2 4
"3511" "at" "the" "white" 0 3 2
"3512" "for" "the" "holiday" 0 2 6
"3513" "a" "friend" "who" 0 2 3
"3514" "be" "describ" "as" 0 3 2
"3515" "a" "good" "week" 0 2 2
"3516" "be" "in" "a" 0 3 2
"3517" "be" "nice" "to" 0 3 5
"3518" "be" "on" "a" 0 3 6
"3519" "a" "great" "week" 0 2 5
"3520" "be" "with" "you" 0 3 4
"3521" "a" "happi" "and" 0 2 2
"3522" "becaus" "i" "am" 0 3 4
"3523" "been" "known" "to" 0 3 2
"3524" "befor" "i" "go" 0 3 3
"3525" "a" "littl" "crazi" 0 2 2
"3526" "between" "you" "and" 0 3 2
"3527" "blah" "blah" "blah" 0 3 2
"3528" "a" "littl" "late" 0 2 5
"3529" "a" "littl" "to" 0 2 3
"3530" "but" "i" "did" 0 3 4
"3531" "but" "i" "realli" 0 3 3
"3532" "a" "month" "to" 0 2 2
"3533" "check" "out" "this" 0 3 2
"3534" "check" "them" "out" 0 3 3
"3535" "a" "smile" "on" 0 2 2
"3536" "gave" "you" "a" 0 2 2
"3537" "get" "in" "touch" 0 2 3
"3538" "a" "veri" "nice" 0 2 2
"3539" "do" "have" "a" 0 3 4
"3540" "do" "i" "have" 0 3 4
"3541" "do" "it" "all" 0 3 2
"3542" "give" "a" "shit" 0 2 2
"3543" "do" "we" "have" 0 3 4
"3544" "do" "what" "i" 0 3 3
"3545" "do" "you" "see" 0 3 3
"3546" "a" "year" "later" 0 2 3
"3547" "doesnt" "mean" "you" 0 3 6
"3548" "dont" "forget" "to" 0 3 21
"3549" "dont" "think" "that" 0 3 6
"3550" "go" "for" "it" 0 2 5
"3551" "even" "know" "what" 0 3 4
"3552" "everi" "day" "and" 0 3 2
"3553" "everi" "singl" "time" 0 3 2
"3554" "far" "the" "best" 0 3 2
"3555" "favorit" "part" "of" 0 3 2
"3556" "feel" "the" "need" 0 3 4
"3557" "good" "thing" "to" 0 2 2
"3558" "for" "a" "reason" 0 3 6
"3559" "for" "me" "im" 0 3 2
"3560" "for" "over" "year" 0 3 2
"3561" "agre" "with" "the" 0 2 2
"3562" "not" "for" "the" 0 2 2
"3563" "for" "you" "but" 0 3 4
"3564" "get" "a" "new" 0 3 5
"3565" "all" "we" "have" 0 2 2
"3566" "get" "start" "on" 0 3 2
"3567" "get" "to" "work" 0 3 5
"3568" "hang" "in" "there" 0 2 5
"3569" "go" "to" "school" 0 3 7
"3570" "also" "have" "the" 0 2 2
"3571" "happi" "to" "see" 0 2 3
"3572" "good" "as" "the" 0 3 2
"3573" "good" "to" "have" 0 3 4
"3574" "guy" "in" "the" 0 3 3
"3575" "alway" "have" "a" 0 2 2
"3576" "happi" "new" "year" 0 3 20
"3577" "hard" "to" "believ" 0 3 3
"3578" "has" "a" "lot" 0 3 3
"3579" "have" "a" "look" 0 3 2
"3580" "have" "a" "nice" 0 3 2
"3581" "have" "a" "veri" 0 3 3
"3582" "have" "all" "the" 0 3 2
"3583" "have" "been" "wait" 0 3 2
"3584" "have" "learn" "to" 0 3 2
"3585" "have" "to" "share" 0 3 2
"3586" "have" "you" "been" 0 3 11
"3587" "hell" "of" "a" 0 3 4
"3588" "here" "come" "the" 0 3 4
"3589" "hole" "in" "my" 0 3 2
"3590" "hour" "and" "a" 0 3 2
"3591" "how" "did" "you" 0 3 4
"3592" "how" "is" "it" 0 3 5
"3593" "how" "mani" "of" 0 3 7
"3594" "and" "do" "you" 0 2 2
"3595" "i" "also" "have" 0 3 3
"3596" "i" "am" "look" 0 3 3
"3597" "i" "am" "the" 0 3 10
"3598" "i" "cannot" "wait" 0 3 2
"3599" "i" "cant" "imagin" 0 3 2
"3600" "and" "get" "it" 0 2 7
"3601" "i" "cant" "tell" 0 3 3
"3602" "i" "could" "onli" 0 3 2
"3603" "i" "couldnt" "make" 0 3 4
"3604" "i" "feel" "so" 0 3 9
"3605" "and" "head" "to" 0 2 2
"3606" "i" "get" "it" 0 3 3
"3607" "i" "go" "out" 0 3 2
"3608" "i" "guess" "ill" 0 3 4
"3609" "i" "had" "an" 0 3 3
"3610" "i" "had" "some" 0 3 2
"3611" "i" "hate" "it" 0 3 8
"3612" "i" "have" "anoth" 0 3 2
"3613" "i" "have" "in" 0 3 2
"3614" "i" "have" "my" 0 3 5
"3615" "i" "have" "now" 0 3 2
"3616" "i" "heard" "it" 0 3 2
"3617" "i" "high" "recommend" 0 3 3
"3618" "i" "just" "cant" 0 3 6
"3619" "i" "just" "need" 0 3 4
"3620" "i" "know" "a" 0 3 2
"3621" "i" "know" "and" 0 3 2
"3622" "i" "look" "like" 0 3 5
"3623" "i" "love" "her" 0 3 5
"3624" "i" "love" "them" 0 3 2
"3625" "i" "love" "to" 0 3 4
"3626" "i" "realli" "do" 0 3 3
"3627" "i" "realli" "hate" 0 3 2
"3628" "i" "realli" "think" 0 3 2
"3629" "i" "refus" "to" 0 3 4
"3630" "help" "me" "get" 0 2 2
"3631" "i" "the" "onli" 0 3 9
"3632" "i" "think" "she" 0 3 3
"3633" "i" "thought" "this" 0 3 3
"3634" "i" "told" "my" 0 3 5
"3635" "and" "let" "us" 0 2 2
"3636" "i" "was" "do" 0 3 2
"3637" "i" "was" "read" 0 3 2
"3638" "i" "was" "there" 0 3 12
"3639" "i" "wish" "it" 0 3 2
"3640" "id" "realli" "like" 0 3 3
"3641" "if" "i" "didnt" 0 3 2
"3642" "if" "this" "is" 0 3 5
"3643" "and" "over" "again" 0 2 2
"3644" "if" "you" "know" 0 3 4
"3645" "if" "you" "love" 0 3 7
"3646" "if" "you" "miss" 0 3 2
"3647" "if" "you" "see" 0 3 2
"3648" "if" "you" "would" 0 3 7
"3649" "im" "glad" "i" 0 3 2
"3650" "im" "talk" "about" 0 3 4
"3651" "im" "tire" "of" 0 3 9
"3652" "hit" "in" "the" 0 2 3
"3653" "in" "store" "for" 0 3 2
"3654" "and" "the" "food" 0 2 2
"3655" "in" "the" "librari" 0 3 3
"3656" "and" "the" "onli" 0 2 3
"3657" "in" "the" "offic" 0 3 7
"3658" "in" "the" "oven" 0 3 2
"3659" "in" "the" "work" 0 3 6
"3660" "in" "this" "world" 0 3 9
"3661" "how" "you" "can" 0 2 4
"3662" "in" "your" "hand" 0 3 2
"3663" "is" "a" "much" 0 3 2
"3664" "is" "and" "how" 0 3 2
"3665" "is" "by" "far" 0 3 3
"3666" "is" "how" "we" 0 3 2
"3667" "is" "it" "just" 0 3 3
"3668" "is" "like" "a" 0 3 8
"3669" "is" "more" "import" 0 3 4
"3670" "is" "much" "more" 0 3 3
"3671" "i" "am" "too" 0 2 5
"3672" "is" "onli" "one" 0 3 3
"3673" "is" "that" "a" 0 3 6
"3674" "is" "that" "you" 0 3 2
"3675" "it" "all" "but" 0 3 2
"3676" "it" "at" "the" 0 3 2
"3677" "it" "fill" "with" 0 3 2
"3678" "it" "in" "your" 0 3 6
"3679" "it" "is" "clear" 0 3 2
"3680" "are" "do" "well" 0 2 2
"3681" "are" "in" "a" 0 2 3
"3682" "it" "just" "the" 0 3 2
"3683" "it" "make" "sens" 0 3 2
"3684" "are" "look" "to" 0 2 2
"3685" "it" "such" "a" 0 3 6
