"gram2" "gram3" "target" "newsFreq" "blogFreq" "twitterFreq"
"165" "in" "favor" "of" 10 2 3
"166" "in" "the" "case" 10 6 2
"167" "in" "the" "countri" 10 8 2
"168" "in" "the" "day" 10 5 3
"169" "is" "in" "the" 10 19 11
"170" "is" "not" "a" 10 15 12
"171" "just" "want" "to" 10 15 20
"172" "like" "to" "be" 10 14 12
"173" "look" "forward" "to" 10 33 104
"174" "look" "like" "a" 10 16 21
"175" "of" "the" "game" 10 6 5
"176" "of" "the" "most" 10 24 14
"177" "part" "of" "it" 10 3 2
"178" "that" "could" "be" 10 7 3
"179" "that" "he" "is" 10 11 5
"180" "that" "kind" "of" 10 6 5
"181" "that" "we" "have" 10 10 5
"182" "that" "would" "be" 10 16 17
"183" "the" "begin" "of" 10 19 6
"184" "the" "bottom" "of" 10 18 5
"185" "the" "right" "to" 10 11 5
"186" "the" "time" "of" 10 8 2
"187" "the" "white" "hous" 10 5 3
"188" "there" "have" "been" 10 12 2
"189" "to" "be" "in" 10 11 18
"190" "to" "see" "how" 10 9 6
"191" "to" "see" "the" 10 27 26
"192" "to" "the" "point" 10 7 4
"193" "top" "of" "the" 10 15 4
"194" "want" "to" "be" 10 30 29
"195" "who" "has" "been" 10 4 2
"196" "would" "have" "been" 10 20 6
"197" "would" "have" "to" 10 10 3
"198" "would" "not" "be" 10 7 2
"199" "a" "littl" "more" 9 14 6
"200" "a" "part" "of" 9 19 14
"201" "ani" "of" "the" 9 7 3
"202" "at" "this" "point" 9 17 8
"203" "bottom" "of" "the" 9 12 3
"204" "do" "you" "think" 9 15 25
"205" "dont" "want" "to" 9 18 26
"206" "go" "back" "to" 9 25 19
"207" "had" "to" "be" 9 11 4
"208" "has" "becom" "a" 9 2 2
"209" "i" "think" "that" 9 25 15
"210" "i" "think" "we" 9 8 12
"211" "if" "you" "dont" 9 23 26
"212" "if" "you" "want" 9 27 25
"213" "in" "the" "area" 9 6 2
"214" "in" "the" "hous" 9 16 8
"215" "in" "the" "same" 9 22 6
"216" "is" "the" "first" 9 10 9
"217" "is" "the" "onli" 9 5 6
"218" "it" "is" "the" 9 29 2
"219" "more" "than" "the" 9 4 3
"220" "of" "the" "best" 9 6 17
"221" "of" "the" "first" 9 7 2
"222" "of" "the" "us" 9 2 2
"223" "on" "top" "of" 9 20 3
"224" "one" "of" "his" 9 6 3
"225" "over" "the" "next" 9 7 2
"226" "return" "to" "the" 9 15 2
"227" "talk" "about" "the" 9 5 10
"228" "the" "abil" "to" 9 7 3
"229" "the" "idea" "of" 9 17 3
"230" "the" "kind" "of" 9 11 3
"231" "the" "name" "of" 9 15 7
"232" "the" "size" "of" 9 7 2
"233" "the" "start" "of" 9 10 5
"234" "the" "type" "of" 9 8 4
"235" "to" "go" "to" 9 33 46
"236" "to" "see" "if" 9 19 8
"237" "to" "win" "the" 9 2 7
"238" "want" "to" "get" 9 14 10
"239" "we" "had" "a" 9 20 11
"240" "we" "have" "a" 9 16 17
"241" "will" "continu" "to" 9 7 4
"242" "work" "on" "the" 9 12 6
"243" "a" "bit" "of" 8 40 6
"244" "a" "matter" "of" 8 10 7
"245" "a" "member" "of" 8 6 3
"246" "a" "piec" "of" 8 13 4
"247" "back" "in" "the" 8 11 9
"248" "be" "on" "the" 8 3 12
"249" "by" "the" "way" 8 11 8
"250" "come" "to" "the" 8 14 11
"251" "day" "of" "the" 8 14 12
"252" "dont" "have" "to" 8 17 16
"253" "dont" "know" "what" 8 11 21
"254" "for" "a" "new" 8 3 10
"255" "for" "those" "who" 8 18 5
"256" "go" "to" "get" 8 9 15
