"gram1" "gram2" "gram3" "target" "newsFreq" "blogFreq" "twitterFreq"
"140" "want" "to" "be" "a" 2 3 2
"141" "what" "is" "go" "on" 2 5 2
"142" "would" "you" "like" "to" 2 4 7
"143" "you" "dont" "want" "to" 2 5 8
"144" "you" "have" "to" "be" 2 5 6
"145" "that" "im" "go" "to" 3 0 2
"146" "that" "would" "be" "a" 5 0 2
"147" "a" "chanc" "to" "win" 4 0 2
"148" "a" "littl" "bit" "more" 4 0 2
"149" "be" "part" "of" "the" 4 0 2
"150" "for" "one" "of" "the" 4 0 2
"151" "on" "the" "west" "coast" 4 0 2
"152" "should" "be" "abl" "to" 4 0 3
"153" "are" "go" "to" "have" 3 0 4
"154" "danc" "with" "the" "star" 3 0 3
"155" "end" "of" "the" "day" 3 0 4
"156" "from" "am" "to" "pm" 3 0 5
"157" "got" "a" "lot" "of" 3 0 2
"158" "have" "the" "power" "to" 3 0 3
"159" "in" "the" "past" "year" 3 0 2
"160" "and" "im" "go" "to" 2 0 2
"161" "are" "a" "lot" "of" 2 0 2
"162" "are" "not" "go" "to" 2 0 2
"163" "open" "to" "the" "public" 3 0 2
"164" "the" "second" "half" "of" 3 0 2
"165" "be" "sure" "to" "keep" 2 0 2
"166" "a" "year" "and" "a" 2 0 2
"167" "have" "a" "good" "time" 2 0 5
"168" "but" "you" "have" "to" 2 0 2
"169" "i" "dont" "think" "so" 2 0 3
"170" "i" "think" "we" "can" 2 0 3
"171" "im" "go" "to" "be" 2 0 2
"172" "dont" "have" "to" "be" 2 0 2
"173" "dont" "want" "to" "go" 2 0 3
"174" "even" "if" "it" "was" 2 0 2
"175" "get" "a" "chanc" "to" 2 0 3
"176" "it" "time" "for" "a" 2 0 3
"177" "it" "was" "a" "good" 2 0 5
"178" "not" "look" "forward" "to" 2 0 3
"179" "not" "the" "onli" "one" 2 0 5
"180" "is" "go" "to" "win" 2 0 2
"181" "would" "be" "a" "great" 2 0 3
"182" "next" "thing" "you" "know" 2 0 2
"183" "thank" "you" "thank" "you" 2 0 2
"184" "until" "the" "end" "of" 2 0 2
"185" "player" "of" "the" "year" 2 0 2
"186" "they" "are" "go" "to" 2 0 2
"187" "to" "be" "at" "the" 2 0 4
"188" "you" "are" "go" "to" 2 0 3
"189" "this" "time" "of" "year" 2 0 3
"190" "who" "do" "you" "think" 2 0 3
"191" "to" "get" "in" "the" 2 0 3
"192" "to" "get" "it" "back" 2 0 2
"193" "to" "the" "front" "of" 2 0 2
"194" "will" "be" "on" "the" 2 0 2
"195" "what" "it" "take" "to" 2 0 3
"196" "would" "like" "to" "see" 2 0 2
"197" "we" "are" "tri" "to" 2 0 3
"198" "there" "are" "a" "lot" 2 0 2
"199" "we" "have" "a" "chanc" 2 0 2
"200" "was" "the" "onli" "one" 2 0 2
"201" "want" "to" "do" "that" 2 0 2
"202" "we" "look" "forward" "to" 2 0 6
"203" "the" "rule" "of" "law" 2 0 2
"204" "to" "sign" "up" "for" 2 0 2
"205" "to" "the" "famili" "and" 2 0 2
"206" "work" "to" "be" "done" 2 0 3
"207" "you" "want" "to" "have" 2 0 2
"208" "you" "have" "to" "make" 2 0 2
"209" "this" "is" "whi" "i" 0 3 3
"210" "thought" "it" "was" "a" 0 3 2
"211" "for" "those" "of" "you" 0 13 3
"212" "one" "of" "my" "favorit" 0 13 10
"213" "to" "go" "to" "the" 0 13 14
"214" "i" "am" "go" "to" 0 12 12
"215" "when" "i" "was" "a" 0 12 4
"216" "to" "do" "with" "it" 0 3 2
"217" "a" "great" "way" "to" 0 10 4
"218" "tri" "to" "figur" "out" 0 10 9
"219" "at" "the" "top" "of" 0 9 7
"220" "i" "had" "no" "idea" 0 9 4
"221" "i" "have" "no" "idea" 0 9 7
"222" "told" "me" "that" "he" 0 3 2
"223" "tri" "to" "be" "a" 0 3 2
"224" "i" "cant" "wait" "to" 0 8 17
"225" "i" "thought" "it" "would" 0 8 2
"226" "in" "front" "of" "me" 0 8 4
"227" "want" "to" "write" "a" 0 3 3
"228" "all" "over" "the" "place" 0 7 2
"229" "i" "realli" "need" "to" 0 7 5
"230" "i" "want" "to" "go" 0 7 7
"231" "on" "the" "other" "side" 0 7 2
"232" "there" "is" "so" "much" 0 7 2
"233" "thought" "it" "would" "be" 0 7 2
"234" "will" "continu" "to" "be" 0 3 2
"235" "from" "time" "to" "time" 0 6 2
"236" "i" "dont" "think" "i" 0 6 6
"237" "i" "have" "to" "do" 0 6 3
"238" "you" "know" "what" "i" 0 3 3
"239" "i" "look" "forward" "to" 0 6 6
"240" "i" "wish" "i" "could" 0 6 16
"241" "i" "would" "love" "to" 0 6 7
"242" "if" "you" "are" "a" 0 6 4
"243" "in" "a" "long" "time" 0 6 5
"244" "you" "will" "be" "abl" 0 3 2
"245" "in" "the" "morn" "and" 0 6 2
"246" "it" "will" "be" "a" 0 6 3
"247" "look" "forward" "to" "see" 0 6 11
"248" "need" "to" "be" "a" 0 6 2
"249" "right" "in" "front" "of" 0 6 2
"250" "thank" "you" "for" "your" 0 6 9
"251" "the" "best" "part" "of" 0 6 2
"252" "the" "fact" "that" "i" 0 6 2
"253" "the" "first" "time" "i" 0 6 4
"254" "to" "one" "of" "the" 0 6 2
"255" "to" "the" "end" "of" 0 6 2
"256" "you" "dont" "need" "to" 0 6 2
"257" "you" "have" "to" "do" 0 6 6
"258" "and" "a" "lot" "of" 0 5 2
"259" "and" "i" "have" "to" 0 5 2
"260" "as" "long" "as" "i" 0 5 2
"261" "dont" "know" "how" "to" 0 5 5
"262" "i" "am" "tri" "to" 0 5 2
"263" "i" "dont" "know" "the" 0 5 2
"264" "i" "dont" "like" "it" 0 5 2
"265" "i" "thought" "it" "was" 0 5 10
"266" "i" "will" "have" "to" 0 5 4
"267" "im" "not" "sure" "if" 0 5 2
"268" "is" "one" "of" "my" 0 5 4
"269" "noth" "to" "do" "with" 0 5 3
"270" "one" "of" "the" "thing" 0 5 2
"271" "some" "of" "the" "most" 0 5 2
"272" "spent" "a" "lot" "of" 0 5 2
"273" "take" "advantag" "of" "the" 0 5 2
"274" "the" "best" "way" "to" 0 5 6
"275" "to" "be" "a" "good" 0 5 6
"276" "to" "be" "one" "of" 0 5 2
"277" "we" "are" "go" "to" 0 5 10
"278" "you" "can" "see" "the" 0 5 2
"279" "a" "copi" "of" "the" 0 4 3
"280" "a" "lot" "of" "money" 0 4 3
"281" "all" "you" "have" "to" 0 4 3
"282" "and" "i" "cant" "wait" 0 4 2
"283" "and" "it" "will" "be" 0 4 3
"284" "as" "soon" "as" "i" 0 4 3
"285" "but" "i" "think" "it" 0 4 2
"286" "am" "i" "suppos" "to" 0 2 3
"287" "for" "a" "few" "day" 0 4 5
"288" "for" "all" "of" "us" 0 4 3
"289" "get" "out" "of" "the" 0 4 2
"290" "i" "am" "not" "go" 0 4 2
"291" "i" "dont" "have" "a" 0 4 2
"292" "i" "dont" "have" "ani" 0 4 7
"293" "i" "feel" "like" "i" 0 4 6
"294" "i" "have" "a" "feel" 0 4 3
"295" "i" "hope" "you" "are" 0 4 3
"296" "i" "hope" "you" "will" 0 4 2
"297" "i" "need" "to" "be" 0 4 5
"298" "i" "think" "that" "the" 0 4 3
"299" "i" "was" "about" "to" 0 4 2
"300" "i" "was" "at" "the" 0 4 3
"301" "i" "was" "tri" "to" 0 4 2
"302" "if" "you" "dont" "have" 0 4 2
"303" "is" "a" "good" "thing" 0 4 3
"304" "it" "up" "to" "you" 0 4 3
"305" "know" "what" "to" "do" 0 4 4
"306" "make" "me" "feel" "like" 0 4 2
"307" "may" "be" "abl" "to" 0 4 2
"308" "one" "of" "the" "greatest" 0 4 2
"309" "out" "some" "of" "the" 0 4 2
"310" "and" "it" "was" "a" 0 2 2
"311" "spend" "so" "much" "time" 0 4 2
"312" "thank" "you" "so" "much" 0 4 22
"313" "that" "i" "am" "a" 0 4 3
"314" "that" "i" "had" "to" 0 4 2
"315" "the" "best" "of" "the" 0 4 2
"316" "the" "rest" "of" "my" 0 4 5
"317" "to" "all" "of" "you" 0 4 4
"318" "to" "figur" "out" "how" 0 4 3
"319" "to" "give" "me" "a" 0 4 2
"320" "to" "go" "to" "a" 0 4 2
"321" "to" "learn" "more" "about" 0 4 6
"322" "to" "take" "advantag" "of" 0 4 3
"323" "want" "to" "go" "to" 0 4 11
"324" "what" "are" "you" "do" 0 4 5
"325" "what" "it" "like" "to" 0 4 2
"326" "a" "hell" "of" "a" 0 3 3
"327" "a" "lot" "of" "it" 0 3 2
"328" "a" "pictur" "of" "a" 0 3 3
"329" "are" "some" "of" "the" 0 2 3
"330" "am" "not" "go" "to" 0 3 2
"331" "and" "i" "have" "a" 0 3 3
"332" "and" "i" "will" "be" 0 3 3
"333" "and" "let" "me" "know" 0 3 4
"334" "and" "look" "forward" "to" 0 3 4
"335" "as" "good" "as" "the" 0 3 2
"336" "as" "long" "as" "you" 0 3 2
"337" "if" "you" "do" "you" 0 2 3
"338" "be" "abl" "to" "go" 0 3 2
"339" "be" "sure" "to" "check" 0 3 2
"340" "best" "part" "of" "the" 0 3 2
"341" "bring" "me" "back" "to" 0 3 2
"342" "but" "i" "love" "it" 0 3 2
"343" "but" "i" "want" "to" 0 3 3
"344" "by" "far" "the" "best" 0 3 2
"345" "come" "up" "to" "me" 0 3 2
"346" "do" "not" "want" "to" 0 3 2
"347" "dont" "know" "what" "to" 0 3 5
"348" "dont" "think" "ive" "ever" 0 3 2
"349" "feel" "the" "need" "to" 0 3 3
"350" "for" "those" "of" "us" 0 3 2
"351" "forward" "to" "see" "you" 0 3 7
"352" "go" "back" "to" "school" 0 3 2
"353" "had" "a" "chanc" "to" 0 3 3
"354" "had" "a" "good" "time" 0 3 2
"355" "has" "noth" "to" "do" 0 3 2
"356" "have" "a" "great" "day" 0 3 8
"357" "have" "no" "idea" "what" 0 3 3
