"gram1" "gram2" "gram3" "target" "newsFreq" "blogFreq" "twitterFreq"
"2150" "thi" "seed" "after" "thee" 0 3 0
"2151" "second" "round" "of" "the" 2 0 0
"2152" "me" "on" "the" "phone" 2 0 0
"2153" "this" "for" "a" "while" 0 3 0
"2154" "meet" "act" "violat" "in" 2 0 0
"2155" "he" "was" "one" "of" 2 0 0
"2156" "member" "walk" "through" "the" 2 0 0
"2157" "senat" "presid" "steve" "sweeney" 2 0 0
"2158" "send" "him" "to" "the" 2 0 0
"2159" "might" "have" "been" "too" 2 0 0
"2160" "million" "a" "year" "for" 2 0 0
"2161" "million" "barrel" "a" "day" 2 0 0
"2162" "million" "in" "state" "fund" 2 0 0
"2163" "health" "care" "and" "other" 2 0 0
"2164" "to" "be" "call" "the" 0 3 0
"2165" "share" "of" "that" "market" 2 0 0
"2166" "hell" "help" "romney" "campaign" 2 0 0
"2167" "minut" "into" "the" "game" 2 0 0
"2168" "minut" "stir" "frequent" "until" 2 0 0
"2169" "she" "said" "it" "is" 2 0 0
"2170" "mitt" "romney" "has" "earn" 2 0 0
"2171" "those" "of" "you" "who" 0 12 0
"2172" "him" "out" "of" "the" 2 0 0
"2173" "his" "bid" "for" "a" 2 0 0
"2174" "his" "first" "homer" "of" 2 0 0
"2175" "mmfservic" "h" "jpmorgan" "us" 2 0 0
"2176" "money" "in" "his" "pocket" 2 0 0
"2177" "singl" "to" "right" "to" 2 0 0
"2178" "more" "stroke" "on" "the" 2 0 0
"2179" "home" "to" "a" "hand" 2 0 0
"2180" "honest" "with" "each" "other" 2 0 0
"2181" "more" "than" "in" "the" 2 0 0
"2182" "more" "than" "million" "from" 2 0 0
"2183" "so" "much" "as" "a" 2 0 0
"2184" "more" "than" "million" "peopl" 2 0 0
"2185" "how" "much" "he" "is" 2 0 0
"2186" "more" "than" "three" "hour" 2 0 0
"2187" "more" "toward" "the" "us" 2 0 0
"2188" "huge" "part" "of" "the" 2 0 0
"2189" "to" "be" "a" "product" 2 0 0
"2190" "i" "can" "do" "that" 2 0 0
"2191" "move" "in" "the" "right" 2 0 0
"2192" "move" "out" "of" "the" 2 0 0
"2193" "speaker" "sheila" "oliv" "dessex" 2 0 0
"2194" "speed" "of" "about" "mph" 2 0 0
"2195" "my" "hand" "on" "his" 2 0 0
"2196" "to" "write" "a" "short" 0 3 0
"2197" "n" "third" "st" "phoenix" 2 0 0
"2198" "i" "dont" "know" "exact" 2 0 0
"2199" "spokesman" "michael" "drewniak" "said" 2 0 0
"2200" "i" "dont" "realli" "know" 2 0 0
"2201" "near" "the" "top" "of" 2 0 0
"2202" "go" "on" "and" "on" 0 2 0
"2203" "i" "get" "to" "spend" 2 0 0
"2204" "new" "stadium" "for" "the" 2 0 0
"2205" "state" "depart" "of" "educ" 2 0 0
"2206" "new" "york" "red" "bull" 2 0 0
"2207" "i" "stay" "in" "the" 2 0 0
"2208" "state" "use" "of" "the" 2 0 0
"2209" "to" "drive" "down" "cost" 2 0 0
"2210" "i" "think" "it" "would" 2 0 0
"2211" "i" "think" "there" "are" 2 0 0
"2212" "stroke" "on" "the" "back" 2 0 0
"2213" "no" "child" "left" "behind" 2 0 0
"2214" "no" "choic" "but" "to" 2 0 0
"2215" "no" "one" "is" "go" 2 0 0
"2216" "take" "a" "break" "from" 2 0 0
"2217" "take" "care" "of" "it" 2 0 0
"2218" "no" "small" "part" "to" 2 0 0
"2219" "no" "that" "not" "a" 2 0 0
"2220" "take" "us" "out" "of" 2 0 0
"2221" "we" "had" "a" "good" 0 3 0
"2222" "not" "relat" "to" "patient" 2 0 0
"2223" "not" "return" "a" "call" 2 0 0
"2224" "not" "suppos" "to" "be" 2 0 0
"2225" "we" "live" "in" "a" 0 3 0
"2226" "now" "go" "to" "the" 2 0 0
"2227" "obama" "and" "that" "hell" 2 0 0
"2228" "if" "you" "realli" "want" 2 0 0
"2229" "ocean" "and" "atmospher" "administr" 2 0 0
"2230" "if" "youv" "got" "a" 2 0 0
"2231" "of" "a" "summer" "day" 2 0 0
"2232" "of" "a" "yearold" "girl" 2 0 0
"2233" "immigr" "and" "custom" "enforc" 2 0 0
"2234" "of" "billion" "to" "billion" 2 0 0
"2235" "of" "competitor" "he" "is" 2 0 0
"2236" "of" "court" "coron" "engin" 2 0 0
"2237" "of" "difficulti" "moder" "allow" 2 0 0
"2238" "that" "has" "been" "repeat" 2 0 0
"2239" "of" "gov" "john" "kasich" 2 0 0
"2240" "of" "gross" "domest" "product" 2 0 0
"2241" "in" "a" "pair" "of" 2 0 0
"2242" "in" "a" "phone" "interview" 2 0 0
"2243" "in" "a" "place" "where" 2 0 0
"2244" "in" "a" "posit" "direct" 2 0 0
"2245" "of" "life" "in" "the" 2 0 0
"2246" "of" "medicin" "and" "dentistri" 2 0 0
"2247" "in" "a" "small" "town" 2 0 0
"2248" "of" "new" "york" "and" 2 0 0
"2249" "in" "a" "statement" "they" 2 0 0
"2250" "of" "public" "health" "and" 2 0 0
"2251" "of" "seat" "in" "the" 2 0 0
"2252" "of" "state" "hillari" "clinton" 2 0 0
"2253" "that" "percent" "of" "san" 2 0 0
"2254" "of" "that" "is" "to" 2 0 0
"2255" "in" "an" "email" "to" 2 0 0
"2256" "in" "and" "back" "in" 2 0 0
"2257" "in" "ani" "of" "his" 2 0 0
"2258" "in" "ani" "way" "he" 2 0 0
"2259" "of" "the" "countri" "to" 2 0 0
"2260" "of" "the" "cruze" "a" 2 0 0
"2261" "of" "the" "cuyahoga" "counti" 2 0 0
"2262" "of" "the" "dairi" "southwest" 2 0 0
"2263" "in" "connect" "with" "a" 2 0 0
"2264" "in" "favor" "of" "a" 2 0 0
"2265" "of" "the" "essex" "counti" 2 0 0
"2266" "in" "front" "of" "our" 2 0 0
"2267" "you" "may" "have" "heard" 0 3 0
"2268" "of" "the" "garden" "state" 2 0 0
"2269" "in" "his" "home" "on" 2 0 0
"2270" "in" "his" "last" "four" 2 0 0
"2271" "in" "his" "most" "recent" 2 0 0
"2272" "in" "his" "return" "from" 2 0 0
"2273" "of" "the" "late" "s" 2 0 0
"2274" "in" "it" "sole" "discret" 2 0 0
"2275" "of" "the" "ncaa" "tournament" 2 0 0
"2276" "of" "the" "new" "jersey" 2 0 0
"2277" "of" "the" "offic" "of" 2 0 0
"2278" "the" "best" "player" "avail" 2 0 0
"2279" "in" "much" "of" "the" 2 0 0
"2280" "in" "new" "jersey" "in" 2 0 0
"2281" "of" "the" "season" "the" 2 0 0
"2282" "in" "san" "diego" "and" 2 0 0
"2283" "the" "center" "for" "a" 2 0 0
"2284" "in" "southern" "california" "and" 2 0 0
"2285" "in" "spring" "train" "and" 2 0 0
"2286" "in" "st" "loui" "and" 2 0 0
"2287" "of" "the" "year" "was" 2 0 0
"2288" "in" "the" "arabian" "peninsula" 2 0 0
"2289" "of" "those" "who" "love" 2 0 0
"2290" "in" "the" "area" "the" 2 0 0
"2291" "in" "the" "back" "seat" 2 0 0
"2292" "in" "the" "big" "ten" 2 0 0
"2293" "offic" "respond" "to" "a" 2 0 0
"2294" "on" "a" "lot" "of" 2 0 0
"2295" "in" "the" "citi" "the" 2 0 0
"2296" "in" "the" "citi" "they" 2 0 0
"2297" "on" "behalf" "of" "the" 2 0 0
"2298" "a" "coupl" "of" "other" 0 2 0
"2299" "in" "the" "day" "after" 2 0 0
"2300" "in" "the" "death" "of" 2 0 0
"2301" "on" "rout" "forrest" "said" 2 0 0
"2302" "the" "economi" "and" "the" 2 0 0
"2303" "in" "the" "end" "i" 2 0 0
"2304" "in" "the" "eye" "of" 2 0 0
"2305" "in" "the" "fifth" "to" 2 0 0
"2306" "in" "the" "first" "two" 2 0 0
"2307" "in" "the" "free" "in" 2 0 0
"2308" "in" "the" "head" "and" 2 0 0
"2309" "on" "the" "front" "page" 2 0 0
"2310" "a" "coupl" "of" "day" 0 5 0
"2311" "in" "the" "kill" "of" 2 0 0
"2312" "in" "the" "last" "sever" 2 0 0
"2313" "the" "feder" "aviat" "administr" 2 0 0
"2314" "the" "feder" "center" "for" 2 0 0
"2315" "the" "feder" "transit" "administr" 2 0 0
"2316" "on" "the" "univers" "of" 2 0 0
"2317" "the" "third" "quarter" "when" 2 0 0
"2318" "in" "the" "month" "ahead" 2 0 0
"2319" "the" "first" "half" "and" 2 0 0
"2320" "in" "the" "ncaa" "tournament" 2 0 0
"2321" "in" "the" "next" "few" 2 0 0
"2322" "a" "good" "price" "too" 0 2 0
"2323" "one" "of" "the" "few" 2 0 0
"2324" "one" "of" "the" "leagu" 2 0 0
"2325" "the" "front" "door" "no" 2 0 0
"2326" "in" "the" "seat" "parliament" 2 0 0
"2327" "in" "the" "second" "inning" 2 0 0
"2328" "becaus" "i" "knew" "i" 0 5 0
"2329" "one" "of" "the" "zoo" 2 0 0
"2330" "the" "health" "of" "the" 2 0 0
"2331" "one" "person" "was" "kill" 2 0 0
"2332" "in" "the" "six" "month" 2 0 0
"2333" "onli" "about" "percent" "of" 2 0 0
"2334" "fall" "in" "love" "with" 0 5 0
"2335" "in" "the" "suburb" "of" 2 0 0
"2336" "onli" "thing" "that" "matter" 2 0 0
"2337" "open" "contain" "of" "alcohol" 2 0 0
"2338" "in" "the" "us" "senat" 2 0 0
"2339" "in" "the" "us" "to" 2 0 0
"2340" "in" "the" "winter" "and" 2 0 0
"2341" "in" "the" "world" "he" 2 0 0
"2342" "in" "the" "world" "seri" 2 0 0
"2343" "or" "cent" "per" "share" 2 0 0
"2344" "in" "town" "over" "the" 2 0 0
"2345" "the" "latest" "incarn" "of" 2 0 0
"2346" "the" "le" "cirqu" "grenach" 2 0 0
"2347" "our" "work" "cut" "out" 2 0 0
"2348" "the" "locker" "room" "and" 2 0 0
"2349" "instead" "of" "as" "the" 2 0 0
"2350" "out" "of" "the" "countri" 2 0 0
"2351" "the" "member" "of" "the" 2 0 0
"2352" "intersect" "the" "blownout" "well" 2 0 0
"2353" "into" "the" "fourth" "quarter" 2 0 0
"2354" "out" "on" "the" "road" 2 0 0
"2355" "iowa" "and" "jonathan" "martin" 2 0 0
"2356" "is" "a" "candid" "for" 2 0 0
"2357" "the" "nation" "children" "cancer" 2 0 0
"2358" "the" "nation" "ocean" "and" 2 0 0
"2359" "over" "the" "last" "decad" 2 0 0
"2360" "is" "a" "good" "wine" 2 0 0
"2361" "is" "a" "longer" "process" 2 0 0
"2362" "the" "new" "york" "red" 2 0 0
"2363" "over" "the" "past" "four" 2 0 0
"2364" "over" "the" "past" "sever" 2 0 0
"2365" "is" "among" "the" "most" 2 0 0
"2366" "park" "lot" "of" "the" 2 0 0
"2367" "is" "expect" "to" "have" 2 0 0
"2368" "is" "expect" "to" "open" 2 0 0
"2369" "is" "expect" "to" "run" 2 0 0
"2370" "is" "get" "closer" "to" 2 0 0
"2371" "the" "offic" "of" "the" 2 0 0
"2372" "is" "go" "to" "make" 2 0 0
"2373" "on" "the" "day" "of" 0 5 0
"2374" "patient" "care" "such" "as" 2 0 0
"2375" "is" "in" "the" "midst" 2 0 0
"2376" "peopl" "familiar" "with" "the" 2 0 0
"2377" "the" "owner" "of" "an" 2 0 0
"2378" "is" "list" "as" "a" 2 0 0
"2379" "is" "more" "of" "a" 2 0 0
"2380" "some" "of" "the" "other" 0 5 0
"2381" "percent" "of" "gross" "domest" 2 0 0
"2382" "percent" "of" "student" "pass" 2 0 0
"2383" "percent" "of" "the" "vote" 2 0 0
"2384" "is" "not" "tri" "to" 2 0 0
"2385" "was" "treat" "and" "releas" 2 0 0
"2386" "is" "our" "hope" "that" 2 0 0
"2387" "the" "place" "where" "i" 2 0 0
"2388" "a" "while" "sinc" "ive" 0 2 0
"2389" "play" "a" "part" "in" 2 0 0
"2390" "is" "that" "there" "is" 2 0 0
"2391" "is" "the" "daughter" "of" 2 0 0
"2392" "playoff" "for" "the" "first" 2 0 0
"2393" "is" "the" "first" "time" 2 0 0
"2394" "pm" "april" "and" "pm" 2 0 0
"2395" "pm" "tuesday" "and" "wednesday" 2 0 0
"2396" "issu" "a" "statement" "say" 2 0 0
"2397" "issu" "earlier" "this" "month" 2 0 0
"2398" "it" "a" "matter" "of" 2 0 0
"2399" "it" "appear" "that" "he" 2 0 0
"2400" "point" "rebound" "and" "assist" 2 0 0
"2401" "point" "six" "rebound" "and" 2 0 0
"2402" "polic" "depart" "want" "to" 2 0 0
"2403" "polic" "offic" "this" "week" 2 0 0
"2404" "the" "right" "to" "repres" 2 0 0
"2405" "polic" "say" "a" "window" 2 0 0
"2406" "presid" "and" "ceo" "of" 2 0 0
"2407" "it" "is" "import" "for" 2 0 0
"2408" "presid" "of" "the" "unit" 2 0 0
"2409" "it" "is" "more" "than" 2 0 0
"2410" "it" "is" "our" "hope" 2 0 0
"2411" "it" "is" "true" "that" 2 0 0
"2412" "it" "let" "me" "know" 2 0 0
"2413" "it" "look" "as" "if" 2 0 0
"2414" "the" "score" "with" "a" 2 0 0
"2415" "it" "look" "like" "they" 2 0 0
"2416" "it" "make" "her" "a" 2 0 0
"2417" "it" "more" "import" "to" 2 0 0
"2418" "it" "not" "someth" "i" 2 0 0
"2419" "protein" "g" "carbohydr" "g" 2 0 0
"2420" "provid" "health" "insur" "for" 2 0 0
"2421" "provid" "that" "presenc" "and" 2 0 0
"2422" "proxim" "to" "new" "york" 2 0 0
"2423" "pucella" "third" "and" "hajek" 2 0 0
"2424" "push" "the" "boundari" "of" 2 0 0
"2425" "put" "a" "lot" "of" 2 0 0
"2426" "it" "turn" "out" "that" 2 0 0
"2427" "the" "state" "and" "the" 2 0 0
"2428" "the" "state" "attorney" "general" 2 0 0
"2429" "radio" "citi" "music" "hall" 2 0 0
"2430" "a" "larg" "number" "of" 0 4 0
"2431" "rate" "fell" "to" "percent" 2 0 0
"2432" "when" "i" "see" "a" 2 0 0
"2433" "real" "problem" "we" "have" 2 0 0
"2434" "all" "said" "and" "done" 0 2 0
"2435" "the" "struggl" "of" "the" 2 0 0
"2436" "record" "sheriff" "and" "treasur" 2 0 0
"2437" "the" "thing" "that" "i" 2 0 0
"2438" "spend" "that" "is" "not" 2 0 0
"2439" "reflect" "new" "york" "citi" 2 0 0
"2440" "the" "top" "high" "school" 2 0 0
"2441" "it" "would" "be" "an" 2 0 0
"2442" "remind" "him" "that" "he" 2 0 0
"2443" "ive" "been" "work" "on" 2 0 0
"2444" "all" "three" "of" "them" 0 2 0
"2445" "republican" "in" "the" "countri" 2 0 0
"2446" "republican" "parti" "against" "presid" 2 0 0
"2447" "just" "want" "to" "go" 2 0 0
"2448" "the" "unit" "state" "with" 2 0 0
"2449" "restrict" "roundtrip" "fare" "begin" 2 0 0
"2450" "right" "act" "of" "and" 2 0 0
"2451" "the" "univers" "of" "michigan" 2 0 0
"2452" "the" "univers" "of" "texa" 2 0 0
"2453" "la" "live" "sport" "and" 2 0 0
"2454" "romney" "campaign" "in" "ani" 2 0 0
"2455" "romney" "has" "earn" "the" 2 0 0
"2456" "the" "us" "hous" "of" 2 0 0
"2457" "royal" "manag" "ned" "yost" 2 0 0
"2458" "rule" "in" "favor" "of" 2 0 0
"2459" "run" "in" "the" "eighth" 2 0 0
"2460" "the" "vietnam" "war" "and" 2 0 0
"2461" "the" "war" "on" "poverti" 2 0 0
"2462" "rush" "for" "yard" "and" 2 0 0
"2463" "s" "about" "foot" "and" 2 0 0
"2464" "said" "a" "number" "of" 2 0 0
"2465" "the" "west" "coast" "and" 2 0 0
"2466" "leader" "joseph" "cryan" "dunion" 2 0 0
"2467" "said" "at" "the" "time" 2 0 0
"2468" "said" "dure" "the" "meet" 2 0 0
"2469" "the" "woman" "who" "was" 2 0 0
"2470" "the" "world" "he" "has" 2 0 0
"2471" "said" "he" "had" "no" 2 0 0
"2472" "the" "world" "most" "famous" 2 0 0
"2473" "said" "he" "has" "been" 2 0 0
"2474" "said" "he" "intend" "to" 2 0 0
"2475" "them" "in" "the" "dishwash" 2 0 0
"2476" "with" "a" "seri" "of" 2 0 0
"2477" "like" "this" "i" "think" 2 0 0
"2478" "like" "to" "be" "in" 2 0 0
"2479" "lion" "share" "of" "that" 2 0 0
"2480" "said" "if" "you" "have" 2 0 0
"2481" "said" "in" "a" "news" 2 0 0
"2482" "with" "knowledg" "of" "the" 2 0 0
"2483" "said" "in" "an" "email" 2 0 0
"2484" "with" "second" "left" "to" 2 0 0
"2485" "said" "it" "was" "a" 2 0 0
"2486" "said" "it" "would" "be" 2 0 0
"2487" "luca" "and" "mexico" "citi" 2 0 0
"2488" "said" "one" "person" "was" 2 0 0
"2489" "made" "it" "clear" "that" 2 0 0
"2490" "major" "leader" "joseph" "cryan" 2 0 0
"2491" "make" "a" "big" "differ" 2 0 0
"2492" "said" "that" "in" "the" 2 0 0
"2493" "make" "decis" "on" "who" 2 0 0
"2494" "said" "there" "is" "noth" 2 0 0
"2495" "work" "as" "an" "assist" 2 0 0
"2496" "they" "thought" "this" "through" 2 0 0
"2497" "make" "it" "out" "of" 2 0 0
"2498" "said" "we" "need" "to" 2 0 0
"2499" "make" "sure" "they" "dont" 2 0 0
"2500" "said" "were" "look" "for" 2 0 0
"2501" "said" "with" "a" "smile" 2 0 0
"2502" "i" "had" "to" "do" 0 4 0
"2503" "manag" "law" "for" "financi" 2 0 0
"2504" "say" "he" "plan" "to" 2 0 0
"2505" "would" "be" "interest" "in" 2 0 0
"2506" "would" "be" "part" "of" 2 0 0
"2507" "mani" "of" "whom" "need" 2 0 0
"2508" "say" "to" "the" "peopl" 2 0 0
"2509" "scene" "in" "which" "he" 2 0 0
"2510" "school" "of" "public" "health" 2 0 0
"2511" "score" "point" "a" "game" 2 0 0
"2512" "think" "that" "go" "to" 2 0 0
"2513" "may" "not" "be" "the" 2 0 0
"2514" "and" "even" "then" "it" 0 2 0
"2515" "think" "we" "can" "do" 2 0 0
"2516" "second" "straight" "month" "the" 2 0 0
"2517" "secretari" "jay" "carney" "said" 2 0 0
"2518" "secretari" "of" "state" "hillari" 2 0 0
"2519" "member" "of" "the" "militari" 2 0 0
"2520" "senat" "presid" "stephen" "sweeney" 2 0 0
"2521" "and" "get" "rebat" "in" 0 2 0
"2522" "this" "is" "the" "second" 2 0 0
"2523" "senior" "vice" "presid" "of" 2 0 0
"2524" "set" "march" "for" "the" 2 0 0
"2525" "set" "the" "stage" "for" 2 0 0
"2526" "set" "up" "by" "the" 2 0 0
"2527" "million" "in" "tax" "break" 2 0 0
"2528" "seven" "day" "a" "week" 2 0 0
"2529" "three" "hit" "and" "two" 2 0 0
"2530" "million" "of" "the" "million" 2 0 0
"2531" "she" "is" "the" "daughter" 2 0 0
"2532" "she" "said" "i" "was" 2 0 0
"2533" "through" "the" "park" "lot" 2 0 0
"2534" "she" "said" "she" "was" 2 0 0
"2535" "mmfcl" "d" "r" "janus" 2 0 0
"2536" "mmfinv" "r" "h" "jpmorgan" 2 0 0
"2537" "mmfinvestor" "r" "h" "jpmorgan" 2 0 0
"2538" "mmfmorgan" "jpmorgan" "liquid" "asset" 2 0 0
"2539" "simpli" "print" "more" "money" 2 0 0
"2540" "sinc" "the" "death" "of" 2 0 0
"2541" "time" "to" "talk" "about" 2 0 0
"2542" "sit" "down" "for" "a" 2 0 0
"2543" "more" "than" "a" "month" 2 0 0
"2544" "more" "than" "a" "week" 2 0 0
"2545" "so" "far" "this" "year" 2 0 0
"2546" "so" "i" "knew" "that" 2 0 0
"2547" "to" "a" "report" "by" 2 0 0
"2548" "so" "we" "have" "to" 2 0 0
"2549" "more" "than" "over" "the" 2 0 0
"2550" "someth" "i" "need" "to" 2 0 0
"2551" "someth" "that" "would" "be" 2 0 0
"2552" "most" "import" "element" "of" 2 0 0
"2553" "on" "the" "morn" "of" 2 0 0
"2554" "move" "forward" "with" "the" 2 0 0
"2555" "speak" "to" "the" "media" 2 0 0
"2556" "speaker" "newt" "gingrich" "and" 2 0 0
"2557" "to" "be" "in" "complianc" 2 0 0
"2558" "until" "you" "reach" "the" 2 0 0
"2559" "the" "final" "day" "of" 2 0 0
"2560" "spent" "million" "while" "the" 2 0 0
"2561" "spent" "more" "than" "million" 2 0 0
"2562" "nation" "children" "cancer" "societi" 2 0 0
"2563" "to" "buy" "ton" "of" 2 0 0
"2564" "near" "the" "corner" "of" 2 0 0
"2565" "spot" "on" "the" "board" 2 0 0
"2566" "need" "to" "do" "to" 2 0 0
"2567" "need" "to" "take" "the" 2 0 0
"2568" "state" "and" "feder" "agenc" 2 0 0
"2569" "to" "determin" "what" "the" 2 0 0
"2570" "state" "depart" "of" "public" 2 0 0
"2571" "newt" "gingrich" "say" "mitt" 2 0 0
"2572" "to" "do" "whatev" "i" 2 0 0
"2573" "victim" "through" "the" "american" 2 0 0
"2574" "take" "the" "opportun" "to" 0 4 0
"2575" "next" "year" "accord" "to" 2 0 0
"2576" "to" "get" "better" "and" 2 0 0
"2577" "such" "as" "travel" "and" 2 0 0
"2578" "sweep" "view" "of" "the" 2 0 0
"2579" "take" "a" "back" "seat" 2 0 0
"2580" "to" "go" "in" "the" 2 0 0
"2581" "open" "meet" "act" "violat" 2 0 0
"2582" "take" "part" "in" "a" 2 0 0
"2583" "take" "place" "on" "the" 2 0 0
"2584" "to" "help" "peopl" "who" 2 0 0
"2585" "taken" "to" "st" "joseph" 2 0 0
"2586" "talk" "to" "their" "children" 2 0 0
"2587" "team" "that" "he" "play" 2 0 0
"2588" "ten" "of" "million" "of" 2 0 0
"2589" "term" "in" "the" "us" 2 0 0
"2590" "than" "a" "decad" "in" 2 0 0
"2591" "than" "a" "quarter" "of" 2 0 0
"2592" "obtain" "by" "the" "starledg" 2 0 0
"2593" "than" "half" "of" "the" 2 0 0
"2594" "of" "a" "mile" "from" 2 0 0
"2595" "and" "take" "pictur" "of" 0 2 0
"2596" "to" "make" "fun" "of" 2 0 0
"2597" "of" "at" "least" "one" 2 0 0
"2598" "that" "can" "get" "mile" 2 0 0
"2599" "that" "could" "be" "the" 2 0 0
"2600" "that" "could" "be" "use" 2 0 0
"2601" "that" "go" "to" "be" 2 0 0
"2602" "to" "open" "his" "own" 2 0 0
"2603" "that" "has" "to" "be" 2 0 0
"2604" "that" "he" "has" "a" 2 0 0
"2605" "of" "huckleberri" "finn" "mark" 2 0 0
"2606" "of" "in" "accord" "to" 2 0 0
"2607" "of" "iowa" "and" "jonathan" 2 0 0
"2608" "of" "last" "season" "after" 2 0 0
"2609" "that" "is" "not" "relat" 2 0 0
"2610" "that" "is" "someth" "that" 2 0 0
"2611" "of" "more" "than" "million" 2 0 0
"2612" "that" "it" "did" "not" 2 0 0
"2613" "of" "pass" "for" "yard" 2 0 0
"2614" "to" "remind" "him" "that" 2 0 0
"2615" "to" "repres" "the" "republican" 2 0 0
"2616" "that" "most" "of" "the" 2 0 0
"2617" "was" "report" "at" "pm" 2 0 0
"2618" "that" "reflect" "new" "york" 2 0 0
"2619" "of" "the" "block" "of" 2 0 0
"2620" "of" "the" "build" "at" 2 0 0
"2621" "of" "the" "citi" "best" 2 0 0
"2622" "of" "the" "columbia" "river" 2 0 0
"2623" "that" "the" "feder" "govern" 2 0 0
"2624" "that" "the" "middl" "class" 2 0 0
"2625" "that" "the" "number" "of" 2 0 0
"2626" "to" "take" "the" "lead" 2 0 0
"2627" "of" "the" "economi" "we" 2 0 0
"2628" "of" "the" "emerg" "manag" 2 0 0
"2629" "that" "we" "need" "to" 2 0 0
"2630" "of" "the" "first" "round" 2 0 0
"2631" "that" "wipe" "out" "the" 2 0 0
"2632" "that" "you" "cant" "do" 2 0 0
"2633" "of" "the" "health" "care" 2 0 0
"2634" "of" "the" "histori" "of" 2 0 0
"2635" "the" "armi" "corp" "of" 2 0 0
"2636" "of" "the" "last" "year" 2 0 0
"2637" "the" "ball" "a" "littl" 2 0 0
"2638" "of" "the" "locker" "room" 2 0 0
"2639" "to" "the" "peopl" "of" 2 0 0
"2640" "to" "the" "place" "where" 2 0 0
"2641" "the" "best" "in" "the" 2 0 0
"2642" "to" "the" "red" "carpet" 2 0 0
"2643" "of" "the" "port" "author" 2 0 0
"2644" "of" "the" "public" "and" 2 0 0
"2645" "to" "their" "children" "about" 2 0 0
"2646" "of" "the" "st" "loui" 2 0 0
"2647" "to" "tie" "the" "game" 2 0 0
"2648" "of" "the" "univers" "of" 2 0 0
"2649" "the" "children" "in" "the" 2 0 0
"2650" "of" "the" "year" "in" 2 0 0
"2651" "the" "comment" "section" "below" 2 0 0
"2652" "of" "them" "in" "the" 2 0 0
"2653" "the" "compani" "has" "been" 2 0 0
"2654" "of" "univers" "circl" "inc" 2 0 0
"2655" "of" "war" "began" "in" 2 0 0
"2656" "offer" "a" "lot" "of" 2 0 0
"2657" "the" "cost" "to" "replac" 2 0 0
"2658" "the" "cours" "of" "the" 2 0 0
"2659" "on" "and" "off" "the" 2 0 0
"2660" "on" "april" "at" "pm" 2 0 0
"2661" "the" "depart" "of" "energi" 2 0 0
"2662" "the" "devil" "have" "play" 2 0 0
"2663" "on" "her" "facebook" "page" 2 0 0
"2664" "on" "new" "year" "eve" 2 0 0
"2665" "the" "e" "street" "band" 2 0 0
"2666" "a" "particip" "in" "the" 0 3 0
"2667" "on" "so" "mani" "level" 2 0 0
"2668" "on" "the" "block" "of" 2 0 0
"2669" "on" "the" "board" "of" 2 0 0
"2670" "on" "the" "east" "side" 2 0 0
"2671" "the" "end" "of" "march" 2 0 0
"2672" "on" "the" "floor" "of" 2 0 0
"2673" "the" "european" "central" "bank" 2 0 0
"2674" "the" "state" "econom" "develop" 2 0 0
"2675" "on" "the" "novemb" "ballot" 2 0 0
"2676" "on" "the" "phone" "he" 2 0 0
"2677" "until" "late" "in" "the" 2 0 0
"2678" "all" "the" "time" "when" 0 3 0
"2679" "the" "th" "overal" "pick" 2 0 0
"2680" "when" "you" "think" "about" 2 0 0
"2681" "where" "it" "will" "end" 2 0 0
"2682" "on" "who" "should" "be" 2 0 0
"2683" "up" "in" "the" "air" 2 0 0
"2684" "one" "crash" "for" "everi" 2 0 0
"2685" "one" "is" "go" "to" 2 0 0
"2686" "the" "first" "six" "month" 2 0 0
"2687" "the" "first" "three" "month" 2 0 0
"2688" "the" "first" "wednesday" "of" 2 0 0
"2689" "use" "it" "or" "lose" 2 0 0
"2690" "one" "of" "the" "state" 2 0 0
"2691" "one" "of" "the" "three" 2 0 0
"2692" "the" "hall" "of" "fame" 2 0 0
"2693" "the" "head" "of" "the" 2 0 0
"2694" "who" "was" "in" "the" 2 0 0
"2695" "the" "height" "of" "the" 2 0 0
"2696" "onli" "a" "few" "mile" 2 0 0
"2697" "the" "hous" "and" "senat" 2 0 0
"2698" "the" "hous" "homeland" "secur" 2 0 0
"2699" "onli" "the" "second" "time" 2 0 0
"2700" "the" "kansa" "citi" "star" 2 0 0
"2701" "the" "kid" "love" "the" 2 0 0
"2702" "the" "victori" "over" "the" 2 0 0
"2703" "open" "to" "the" "idea" 2 0 0
"2704" "open" "with" "the" "screen" 2 0 0
"2705" "oper" "in" "the" "state" 2 0 0
"2706" "opt" "for" "one" "of" 2 0 0
"2707" "want" "to" "find" "out" 2 0 0
"2708" "or" "the" "owner" "of" 2 0 0
"2709" "said" "at" "a" "news" 2 0 0
"2710" "the" "whim" "of" "the" 2 0 0
"2711" "the" "least" "of" "these" 2 0 0
"2712" "war" "began" "in" "afghanistan" 2 0 0
"2713" "out" "of" "high" "school" 2 0 0
"2714" "the" "los" "angel" "laker" 2 0 0
"2715" "was" "a" "veri" "good" 2 0 0
"2716" "out" "of" "the" "presidenti" 2 0 0
"2717" "out" "of" "the" "state" 2 0 0
"2718" "the" "middl" "of" "an" 2 0 0
"2719" "outpour" "of" "support" "and" 2 0 0
"2720" "over" "and" "over" "and" 2 0 0
"2721" "was" "charg" "with" "three" 2 0 0
"2722" "was" "creat" "by" "the" 2 0 0
